name,description,height,weight,gender,category,abilities,type,weakness
Metapod,"Its hard shell doesn't crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides.","2' 04""",21.8 lbs,,Cocoon,Shed Skin,Bug,"Fire,Flying,Rock"
Butterfree,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory.","3' 07""",70.5 lbs,,Butterfly,Compound Eyes,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Weedle,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"1' 00""",7.1 lbs,,Hairy Bug,Shield Dust,"Bug,Poison","Fire,Psychic,Flying,Rock"
Kakuna,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","2' 00""",22.0 lbs,,Cocoon,Shed Skin,"Bug,Poison","Fire,Psychic,Flying,Rock"
Beedrill,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","3' 03""",65.0 lbs,,Poison Bee,Swarm,"Bug,Poison","Fire,Psychic,Flying,Rock"
Pidgey,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","1' 00""",4.0 lbs,,Tiny Bird,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Pidgeotto,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","3' 07""",66.1 lbs,,Bird,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Pidgeot,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","4' 11""",87.1 lbs,,Bird,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Rattata,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.,"1' 00""",7.7 lbs,,Mouse,Run Away,Normal,Fighting
Raticate,"Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers.","2' 04""",40.8 lbs,,Mouse,Run Away,Normal,Fighting
Spearow,"Due to its short wings, it can't fly long distances. It wanders about restlessly and pecks at bug Pokémon.","1' 00""",4.4 lbs,,Tiny Bird,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Fearow,"In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food.","3' 11""",83.8 lbs,,Beak,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Ekans,"The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints.","6' 07""",15.2 lbs,,Snake,Shed Skin,Poison,"Psychic,Ground"
Arbok,"After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving.","11' 06""",143.3 lbs,,Cobra,Shed Skin,Poison,"Psychic,Ground"
Pikachu,"While sleeping, it generates electricity in the sacs in its cheeks. If it's not getting enough sleep, it will be able to use only weak electricity.","1' 04""",13.2 lbs,,Mouse,Static,Electric,Ground
Raichu,"Because so many Trainers like the way Pikachu looks, you don't see this Pokémon very often.","2' 07""",66.1 lbs,,Mouse,Static,Electric,Ground
Sandshrew,"When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out.","2' 00""",26.5 lbs,,Mouse,Sand Veil,Ground,"Water,Grass,Ice"
Sandslash,"Thanks to its thick claws, it's good at climbing trees. There are plenty of Sandslash that park themselves in trees and go right to sleep.","3' 03""",65.0 lbs,,Mouse,Sand Veil,Ground,"Water,Grass,Ice"
Nidoran♀,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","1' 04""",15.4 lbs,,Poison Pin,Poison Point,Poison,"Psychic,Ground"
Nidorina,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","2' 07""",44.1 lbs,,Poison Pin,Poison Point,Poison,"Psychic,Ground"
Nidoqueen,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"4' 03""",132.3 lbs,,Drill,Poison Point,"Poison,Ground","Water,Psychic,Ice,Ground"
Nidoran♂,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","1' 08""",19.8 lbs,,Poison Pin,Poison Point,Poison,"Psychic,Ground"
Nidorino,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","2' 11""",43.0 lbs,,Poison Pin,Poison Point,Poison,"Psychic,Ground"
Nidoking,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","4' 07""",136.7 lbs,,Drill,Poison Point,"Poison,Ground","Water,Psychic,Ice,Ground"
Clefairy,"Bathed in moonlight, its wings glow faintly. Without even flapping, Clefairy rises into the air, where it dances around.","2' 00""",16.5 lbs,,Fairy,Cute Charm,Fairy,"Steel,Poison"
Clefable,Some scientists believe that it gazes intently at the sky on nights with a full moon because it's homesick.,"4' 03""",88.2 lbs,,Fairy,Cute Charm,Fairy,"Steel,Poison"
Vulpix,"It manipulates balls of fire to catch its prey. If you raise one from when it's young, it will grow close to you like a puppy Pokémon.","2' 00""",21.8 lbs,,Fox,Flash Fire,Fire,"Water,Ground,Rock"
Ninetales,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks.","3' 07""",43.9 lbs,,Fox,Flash Fire,Fire,"Water,Ground,Rock"
Jigglypuff,The songs they sing are totally different depending on the region they live in. Some even sound like they're shouting!,"1' 08""",12.1 lbs,,Balloon,Cute Charm,"Normal,Fairy","Steel,Poison"
Wigglytuff,"When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger!","3' 03""",26.5 lbs,,Balloon,Cute Charm,"Normal,Fairy","Steel,Poison"
Zubat,"Their skin is so thin that they'll be burned if sunlight hits them. When it gets cold out, they gather together to warm one another's bodies.","2' 07""",16.5 lbs,,Bat,Inner Focus,"Poison,Flying","Psychic,Electric,Ice,Rock"
Golbat,They can suck down over 10 ounces of blood in one go. They have been known to drink so much blood that they can no longer fly.,"5' 03""",121.3 lbs,,Bat,Inner Focus,"Poison,Flying","Psychic,Electric,Ice,Rock"
Oddish,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon's feet are thought to change shape and become similar to the roots of trees.","1' 08""",11.9 lbs,,Weed,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Gloom,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","2' 07""",19.0 lbs,,Weed,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Vileplume,"Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","3' 11""",41.0 lbs,,Flower,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Paras,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.","1' 00""",11.9 lbs,,Mushroom,Effect Spore,"Bug,Grass","Fire,Flying,Ice,Poison,Rock,Bug"
Parasect,"Its poisonous spores are also used in traditional medicine. Apparently, spores produced in Alola are not of very good quality.","3' 03""",65.0 lbs,,Mushroom,Effect Spore,"Bug,Grass","Fire,Flying,Ice,Poison,Rock,Bug"
Venonat,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","3' 03""",66.1 lbs,,Insect,Compound Eyes,"Bug,Poison","Fire,Psychic,Flying,Rock"
Venomoth,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","4' 11""",27.6 lbs,,Poison Moth,Shield Dust,"Bug,Poison","Fire,Psychic,Flying,Rock"
Diglett,"Around their crops, farmers plant the kind of tree that Diglett like to eat as a way of getting Diglett to plow the fields for them.","0' 08""",1.8 lbs,,Mole,Sand Veil,Ground,"Water,Grass,Ice"
Dugtrio,Dugtrio's heads are sleek and smooth and incredibly hard. It can dig through any soil with its headbutts.,"2' 04""",73.4 lbs,,Mole,Sand Veil,Ground,"Water,Grass,Ice"
Meowth,"It loves coins, so if you give it one, you can make friends with Meowth easily. But it's fickle, so you can't count on that friendship lasting.","1' 04""",9.3 lbs,,Scratch Cat,Pickup,Normal,Fighting
Persian,This Pokémon is popular with rich people. It's also targeted by hunters who are after the jewel in its forehead.,"3' 03""",70.5 lbs,,Classy Cat,Technician,Normal,Fighting
Psyduck,It has been found that its brain cells are 10 times more active when Psyduck is experiencing a headache.,"2' 07""",43.2 lbs,,Duck,Damp,Water,"Grass,Electric"
Golduck,"A professional swimmer, it can continue swimming for two days straight by waving its long tail skillfully.","5' 07""",168.9 lbs,,Duck,Damp,Water,"Grass,Electric"
Mankey,"If one gets angry, all the others around it will get angry, so silence is a rare visitor in a troop of Mankey.","1' 08""",61.7 lbs,,Pig Monkey,Vital Spirit,Fighting,"Psychic,Flying,Fairy"
Primeape,"The blood vessels in its brain are sturdier than those of other Pokémon, so it can stay healthy despite its constant raging.","3' 03""",70.5 lbs,,Pig Monkey,Vital Spirit,Fighting,"Psychic,Flying,Fairy"
Growlithe,It has lived alongside humans since ages ago. Its bones have been found in excavations of ruins from the Stone Age.,"2' 04""",41.9 lbs,,Puppy,Intimidate,Fire,"Water,Ground,Rock"
Arcanine,"There are so many old tales about them that they're called legendary Pokémon, but there are way more of them around than you'd expect.","6' 03""",341.7 lbs,,Legendary,Intimidate,Fire,"Water,Ground,Rock"
Poliwag,The direction of the swirl on their stomachs differs depending on where they live. Poliwag aficionados can tell them apart at a glance.,"2' 00""",27.3 lbs,,Tadpole,Damp,Water,"Grass,Electric"
Poliwhirl,"Its health suffers when its skin dries out, so be sure to moisturize it diligently.","3' 03""",44.1 lbs,,Tadpole,Damp,Water,"Grass,Electric"
Poliwrath,"The muscles it has developed through swimming are thick and powerful. When it lands a square punch, it can turn huge boulders to dust.","4' 03""",119.0 lbs,,Tadpole,Damp,"Water,Fighting","Fairy,Grass,Flying,Psychic,Electric"
Abra,It can read others' minds and will teleport away when danger approaches. You must clear your mind if you want to catch it.,"2' 11""",43.0 lbs,,Psi,Inner Focus,Psychic,"Ghost,Dark,Bug"
Kadabra,"It possesses strong mental capabilities, but its psychic powers are halved when it's not holding a silver spoon.","4' 03""",124.6 lbs,,Psi,Inner Focus,Psychic,"Ghost,Dark,Bug"
Alakazam,"If it trusts someone deeply, it will let them have one of its spoons. Anything you eat with that spoon is apparently delicious.","4' 11""",105.8 lbs,,Psi,Inner Focus,Psychic,"Ghost,Dark,Bug"
Machop,It likes food that's highly nutritious because its instincts drive it to build muscle efficiently.,"2' 07""",43.0 lbs,,Superpower,Guts,Fighting,"Psychic,Flying,Fairy"
Machoke,"A popular motif for sculptures, its incredibly well-developed muscles have captured the imagination of many an artist.","4' 11""",155.4 lbs,,Superpower,Guts,Fighting,"Psychic,Flying,Fairy"
Machamp,"With four arms, it can attack and defend simultaneously. It's said to have mastered every martial art in the world.","5' 03""",286.6 lbs,,Superpower,Guts,Fighting,"Psychic,Flying,Fairy"
Bellsprout,"Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.","2' 04""",8.8 lbs,,Flower,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Weepinbell,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.","3' 03""",14.1 lbs,,Flycatcher,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Victreebel,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.","5' 07""",34.2 lbs,,Flycatcher,Chlorophyll,"Grass,Poison","Fire,Psychic,Flying,Ice"
Tentacool,Its body is 99% water. The remaining 1% contains the organ that makes its poison.,"2' 11""",100.3 lbs,,Jellyfish,Clear Body,"Water,Poison","Psychic,Electric,Ground"
Tentacruel,"It communicates with others of its kind by lighting up the red orbs on its head. When the orbs are blinking, it's a warning sign.","5' 03""",121.3 lbs,,Jellyfish,Clear Body,"Water,Poison","Psychic,Electric,Ground"
Geodude,It uses both hands to climb precipitous cliffs. People who see it in action have been known to take up bouldering.,"1' 04""",44.1 lbs,,Rock,Rock Head,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Graveler,"It travels by rolling down cliffs. If it falls into a river, it will explode with its last gasp.","3' 03""",231.5 lbs,,Rock,Rock Head,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Golem,It detonates its own body. The power from that explosion can propel it up steep mountain paths with amazing speed.,"4' 07""",661.4 lbs,,Megaton,Rock Head,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Ponyta,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,"3' 03""",66.1 lbs,,Fire Horse,Run Away,Fire,"Water,Ground,Rock"
Rapidash,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.","5' 07""",209.4 lbs,,Fire Horse,Run Away,Fire,"Water,Ground,Rock"
Slowpoke,"Although their tails, which fall off naturally, can easily be found lying around, they're a precious ingredient for cooking.","3' 11""",79.4 lbs,,Dopey,Oblivious,"Water,Psychic","Ghost,Dark,Grass,Electric,Bug"
Slowbro,"Shellder, in its greed to suck out more and more sweetness from Slowbro's tail, has metamorphosed into a spiral-shaped shell.","5' 03""",173.1 lbs,,Hermit Crab,Oblivious,"Water,Psychic","Ghost,Dark,Grass,Electric,Bug"
Magnemite,"Perhaps because electrical lines are often buried these days, the number of Magnemite attacks on power plants has increased.","1' 00""",13.2 lbs,"
    Unknown
                ",Magnet,Sturdy,"Electric,Steel","Fire,Fighting,Ground"
Magneton,"When rain clouds form, many Magneton gather in high places to wait for lightning to strike.","3' 03""",132.3 lbs,"
    Unknown
                ",Magnet,Sturdy,"Electric,Steel","Fire,Fighting,Ground"
Farfetch'd,"Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.","2' 07""",33.1 lbs,,Wild Duck,Keen Eye,"Normal,Flying","Electric,Ice,Rock"
Doduo,"Doduo's two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.","4' 07""",86.4 lbs,,Twin Bird,Run Away,"Normal,Flying","Electric,Ice,Rock"
Dodrio,"Apparently, the heads aren't the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.","5' 11""",187.8 lbs,,Triple Bird,Run Away,"Normal,Flying","Electric,Ice,Rock"
Seel,"Thanks to its thick fat, cold seas don't bother it at all, but it gets tired pretty easily in warm waters.","3' 07""",198.4 lbs,,Sea Lion,Thick Fat,Water,"Grass,Electric"
Dewgong,It sunbathes on the beach after meals. The rise in its body temperature helps its digestion.,"5' 07""",264.6 lbs,,Sea Lion,Thick Fat,"Water,Ice","Grass,Electric,Fighting,Rock"
Grimer,"The wastewater coming from factories is clean these days, so Grimer have nothing to eat. They're said to be on the verge of extinction.","2' 11""",66.1 lbs,,Sludge,Stench,Poison,"Psychic,Ground"
Muk,"Because they scatter germs everywhere, they've long been targeted for extermination, leading to a steep decline in their population.","3' 11""",66.1 lbs,,Sludge,Stench,Poison,"Psychic,Ground"
Shellder,"Even when its shell is closed, its tongue still hangs out. If you give its tongue a good yank, the shock will cause Shellder to open its shell.","1' 00""",8.8 lbs,,Bivalve,Shell Armor,Water,"Grass,Electric"
Cloyster,Slowpoke tails are its favorite food. It has even been known to come up on land to look for Slowpoke from time to time.,"4' 11""",292.1 lbs,,Bivalve,Shell Armor,"Water,Ice","Grass,Electric,Fighting,Rock"
Gastly,Poisonous gas comprises 95% of its body. It's said that the remaining 5% is made up of the souls of those who died from the gas.,"4' 03""",0.2 lbs,,Gas,Levitate,"Ghost,Poison","Ghost,Dark,Psychic,Ground"
Haunter,"It's dangerous to go outside alone on nights when you're feeling sad. Haunter will catch you, and you won't be able to go back home.","5' 03""",0.2 lbs,,Gas,Levitate,"Ghost,Poison","Ghost,Dark,Psychic,Ground"
Gengar,Even your home isn't safe. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey.,"4' 11""",89.3 lbs,,Shadow,Cursed Body,"Ghost,Poison","Ghost,Dark,Psychic,Ground"
Onix,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.","28' 10""",463.0 lbs,,Rock Snake,Rock Head,"Rock,Ground","Steel,Fighting,Water,Ice,Grass,Ground"
Drowzee,"It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn't particularly like eating them.","3' 03""",71.4 lbs,,Hypnosis,Insomnia,Psychic,"Ghost,Dark,Bug"
Hypno,There are some Hypno that assist doctors with patients who can't sleep at night in hospitals.,"5' 03""",166.7 lbs,,Hypnosis,Insomnia,Psychic,"Ghost,Dark,Bug"
Krabby,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.","1' 04""",14.3 lbs,,River Crab,Shell Armor,Water,"Grass,Electric"
Kingler,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.","4' 03""",132.3 lbs,,Pincer,Shell Armor,Water,"Grass,Electric"
Voltorb,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,"1' 08""",22.9 lbs,"
    Unknown
                ",Ball,Static,Electric,Ground
Electrode,One of Electrode's characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,"3' 11""",146.8 lbs,"
    Unknown
                ",Ball,Static,Electric,Ground
Exeggcute,"Although they are the same size as other Exeggcute, the ones produced in Alola are quite heavy. Their shells are packed full.","1' 04""",5.5 lbs,,Egg,Chlorophyll,"Grass,Psychic","Ghost,Fire,Flying,Ice,Dark,Poison,Bug"
Exeggutor,"Each of its three heads has its own thoughts. When they want to go in different directions, Exeggutor becomes unable to move.","6' 07""",264.6 lbs,,Coconut,Chlorophyll,"Grass,Psychic","Ghost,Fire,Flying,Ice,Dark,Poison,Bug"
Cubone,"It wears its mother's skull on its head, so no one knows what its bare face looks like. However, it's clear that it's always crying.","1' 04""",14.3 lbs,,Lonely,Rock Head,Ground,"Water,Grass,Ice"
Marowak,They thump their bones rhythmically to communicate among themselves. There are nearly 50 different rhythmic patterns.,"3' 03""",99.2 lbs,,Bone Keeper,Rock Head,Ground,"Water,Grass,Ice"
Hitmonlee,"Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","4' 11""",109.8 lbs,,Kicking,Limber,Fighting,"Psychic,Flying,Fairy"
Hitmonchan,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,"4' 07""",110.7 lbs,,Punching,Keen Eye,Fighting,"Psychic,Flying,Fairy"
Lickitung,"It licks filth clean with its tongue. Whatever it licks always stinks afterward, so whether it's really clean is...questionable.","3' 11""",144.4 lbs,,Licking,Oblivious,Normal,Fighting
Koffing,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.","2' 00""",2.2 lbs,,Poison Gas,Levitate,Poison,"Psychic,Ground"
Weezing,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.","3' 11""",20.9 lbs,,Poison Gas,Levitate,Poison,"Psychic,Ground"
Rhyhorn,"Rhyhorn's brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.","3' 03""",253.5 lbs,,Spikes,Rock Head,"Ground,Rock","Steel,Ice,Water,Fighting,Grass,Ground"
Rhydon,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.","6' 03""",264.6 lbs,,Drill,Rock Head,"Ground,Rock","Steel,Ice,Water,Fighting,Grass,Ground"
Chansey,"Because the eggs on their bellies have been overharvested by people in the past, the Chansey population remains very small.","3' 07""",76.3 lbs,,Egg,Natural Cure,Normal,Fighting
Tangela,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","3' 03""",77.2 lbs,,Vine,Chlorophyll,Grass,"Fire,Flying,Ice,Poison,Bug"
Kangaskhan,You shouldn't get close to the child when it's playing outside its mother's pouch. Its mother is always nearby watching over it.,"7' 03""",176.4 lbs,,Parent,Early Bird,Normal,Fighting
Horsea,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.","1' 04""",17.6 lbs,,Dragon,Swift Swim,Water,"Grass,Electric"
Seadra,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.","3' 11""",55.1 lbs,,Dragon,Poison Point,Water,"Grass,Electric"
Goldeen,"The way it swims along fluttering its dress-like fins has earned it the name ""princess of the water"".","2' 00""",33.1 lbs,,Goldfish,Swift Swim,Water,"Grass,Electric"
Seaking,"To attract females, males dance on the river's floor. The females gather around the male that dances most gracefully.","4' 03""",86.0 lbs,,Goldfish,Swift Swim,Water,"Grass,Electric"
Staryu,No number of injuries can bother Staryu. Its amazing regenerative powers return it to its previous state in half a day!,"2' 07""",76.1 lbs,"
    Unknown
                ",Star Shape,Natural Cure,Water,"Grass,Electric"
Starmie,It rotates its geometrically shaped body to swim through the water. It always seems to be sending out mysterious radio waves.,"3' 07""",176.4 lbs,"
    Unknown
                ",Mysterious,Natural Cure,"Water,Psychic","Ghost,Dark,Grass,Electric,Bug"
Mr.,"It creates invisible walls with its pantomiming. If you don't act impressed, it will attack you with a double slap!","4' 03""",120.2 lbs,,Barrier,Soundproof,"Psychic,Fairy","Ghost,Steel,Poison"
Scyther,Some call it a ninja. Its movements— imperceptibly quick—are sufficient to cleave the air in two. It's very popular in Alola.,"4' 11""",123.5 lbs,,Mantis,Swarm,"Bug,Flying","Fire,Flying,Electric,Ice,Rock"
Jynx,Its strange cries sound like human language. There are some musicians who compose songs for Jynx to sing.,"4' 07""",89.5 lbs,,Human Shape,Oblivious,"Ice,Psychic","Steel,Ghost,Fire,Dark,Rock,Bug"
Electabuzz,"While it's often blamed for power outages, the truth is the cause of outages is more often an error on the part of the electric company.","3' 07""",66.1 lbs,,Electric,Static,Electric,Ground
Magmar,"The hotter the place, the better they feel. Magmar in Alola are said to be hardier than those in other areas.","4' 03""",98.1 lbs,,Spitfire,Flame Body,Fire,"Water,Ground,Rock"
Pinsir,"Although it's tough, it can't handle cold well. When night falls, it buries itself in leafage and sleeps.","4' 11""",121.3 lbs,,Stag Beetle,Hyper Cutter,Bug,"Fire,Flying,Rock"
Tauros,The climate seems to be related to the reason Tauros in Alola are a little calmer than those in other regions.,"4' 07""",194.9 lbs,,Wild Bull,Intimidate,Normal,Fighting
Magikarp,"Thanks to their strong hold on life, dirty water doesn't bother them at all. They live in waters all over the world!","2' 11""",22.0 lbs,,Fish,Swift Swim,Water,"Grass,Electric"
Gyarados,"The energy from evolution stimulated its brain cells strongly, causing it to become very ferocious.","21' 04""",518.1 lbs,,Atrocious,Intimidate,"Water,Flying","Electric,Rock"
Lapras,They've been so cherished that there's now an overabundance. The fish Pokémon population has declined in waters with too many Lapras.,"8' 02""",485.0 lbs,,Transport,Water Absorb,"Water,Ice","Grass,Electric,Fighting,Rock"
Ditto,"It transforms into whatever it sees. If the thing it's transforming into isn't right in front of it, Ditto relies on its memory—so sometimes it fails.","1' 00""",8.8 lbs,"
    Unknown
                ",Transform,Limber,Normal,Fighting
Eevee,Its genes are easily influenced by its surroundings. Even its face starts to look like that of its Trainer.,"1' 00""",14.3 lbs,,Evolution,Run Away,Normal,Fighting
Vaporeon,"It detects nearby moisture with its fin. When its fin begins trembling rapidly, that means rain will fall in a few hours.","3' 03""",63.9 lbs,,Bubble Jet,Water Absorb,Water,"Grass,Electric"
Jolteon,"Its fur stands on end, becoming like needles it fires at enemies. Once they're weakened, it finishes them off with a 10,000 volt shock.","2' 07""",54.0 lbs,,Lightning,Volt Absorb,Electric,Ground
Flareon,"The flame chamber inside its body ignites when Flareon gets agitated, reaching temperatures of up to 1,650 degrees Fahrenheit.","2' 11""",55.1 lbs,,Flame,Flash Fire,Fire,"Water,Ground,Rock"
